,organCode,ticker,comGroupCode,icbCode,organTypeCode,comTypeCode,organName,organShortName
0,0104498100,VVS,UpcomIndex,3353,DN,CT,Công ty Cổ phần Đầu tư Phát triển Máy Việt Nam,Đầu tư Phát triển Máy Việt Nam
1,0108720772,VMK,UpcomIndex,7535,DN,CT,Công ty Cổ Phần Vimarko,Vimarko
2,0109204756,HIO,UpcomIndex,7535,DN,CT,Công ty Cổ Phần Helio Energy,Helio Energy
3,0313140100,SBG,VNINDEX,2727,DN,CT,Công ty Cổ Phần Tập Đoàn Cơ Khí Công Nghệ Cao Siba,Tập Đoàn Cơ Khí Công Nghệ Cao Siba
4,0700519785,THM,UpcomIndex,3763,DN,CT,Công ty Cổ phần Tứ Hải Hà Nam,Tứ Hải Hà Nam
5,10659,HSV,UpcomIndex,1757,DN,CT,Công ty Cổ phần Tập đoàn HSV Việt Nam,Gang Thép Hà Nội
6,10669,CST,UpcomIndex,1771,DN,CT,Công ty Cổ phần Than Cao Sơn - TKV,Than Cao Sơn - TKV
7,10708,BVL,UpcomIndex,8637,DN,CT,Công ty Cổ phần BV Land,BV Land
8,10709,SGI,UpcomIndex,3763,DN,CT,Công ty Cổ phần Đầu tư phát triển Sài Gòn 3 Group,ĐT PT Sài Gòn 3 Group
9,10729,TOS,UpcomIndex,0573,DN,CT,Công ty Cổ phần Dịch vụ biển Tân Cảng,Dịch vụ biển Tân Cảng
10,10780,VTZ,HNXIndex,1353,DN,CT,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,Nhựa Việt Thành
11,10825,SSH,UpcomIndex,8633,DN,CT,Công ty Cổ phần Phát triển Sunshine Homes,Phát triển Sunshine Homes
12,10847,BCA,UpcomIndex,1757,DN,CT,Công ty cổ phần B.C.H,Công ty B.C.H
13,10919,FUCTVGF3,VNINDEX,8985,OTHER,QU,Quỹ Đầu tư Tăng trưởng Thiên Việt 3,Quỹ Đầu tư Tăng trưởng Thiên Việt 3
14,10929,FUEIP100,VNINDEX,8985,OTHER,QU,Quỹ ETF IPAAM VN100,ETF IPAAM VN100
15,10966,GMH,VNINDEX,2353,DN,CT,Công ty Cổ phần Minh Hưng Quảng Trị,Minh Hưng Quảng Trị
16,10969,BIG,UpcomIndex,8637,DN,CT,Công ty cổ phần BIG Invest Group,BIG Invest Group
17,10990,CMM,UpcomIndex,3577,DN,CT,Công ty Cổ phần Camimex,Camimex
18,11009,CNA,UpcomIndex,3573,DN,CT,Công ty Cổ phần Tổng công ty Chè Nghệ An,Tổng công ty Chè Nghệ An - CTCP
19,11096,FUEKIV30,VNINDEX,8985,OTHER,QU,Quỹ ETF KIM GROWTH VN30,KIM GROWTH VN30 ETF
20,12109,ODE,UpcomIndex,5553,DN,CT,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,Tập đoàn Truyền thông và Giải trí ODE
21,12110,HMR,HNXIndex,2353,DN,CT,Công ty cổ phần Đá Hoàng Mai,Đá Hoàng Mai
22,12166,PCH,HNXIndex,1353,DN,CT,Công ty Cổ phần Nhựa Picomat,Nhựa Picomat
23,12211,DSD,UpcomIndex,5755,DN,CT,Công ty cổ phần DHC Suối Đôi,DHC Suối Đôi
24,12215,NO1,VNINDEX,2757,DN,CT,Công ty Cổ phần Tâp đoàn 911,Tâp đoàn 911
25,12220,MGR,UpcomIndex,8633,DN,CT,Công ty cổ phần Tập đoàn MGROUP,Tập đoàn MGROUP
26,12281,PPT,HNXIndex,7573,DN,CT,Công ty cổ phần Petro Times,Petro Times
27,12464,CAR,UpcomIndex,2793,DN,CT,Công ty cổ phần Tập đoàn Giáo dục Trí Việt,Tập đoàn Giáo dục Trí Việt
28,12562,GPC,UpcomIndex,4577,DN,CT,Công ty Cổ phần Tập đoàn Green+,Tập đoàn Green+
29,12615,FUCTVGF4,VNINDEX,8985,OTHER,QU,Quỹ Đầu tư Tăng trưởng Thiên Việt 4,Quỹ Đầu tư Tăng trưởng Thiên Việt 4
30,2040143,FUEDCMID,VNINDEX,8985,OTHER,QU,Quỹ ETF DCVFMVNMIDCAP,Quỹ ETF DCVFMVNMIDCAP
31,2040177,FUEKIVFS,VNINDEX,8985,OTHER,QU,Quỹ ETF KIM GROWTH VNFINSELECT,KIM GROWTH VNFINSELECT ETF
32,2172623,FUEMAVND,VNINDEX,8985,OTHER,QU,Quỹ ETF MAFM VNDIAMOND,Quỹ ETF MAFM VNDIAMOND
33,2173235,FUEFCV50,VNINDEX,8985,OTHER,QU,Quỹ ETF FPT CAPITAL VNX50,Quỹ ETF FPT CAPITAL VNX50
34,2250002,FUEBFVND,VNINDEX,8985,OTHER,QU,Quỹ ETF BVFVN DIAMOND,ETF BVFVN DIAMOND
35,2349197,FUCTVGF5,VNINDEX,8985,OTHER,QU,Quỹ đầu tư tăng trưởng Thiên Việt 5,Quỹ đầu tư tăng trưởng Thiên Việt 5
36,2400379403,AAH,UpcomIndex,1771,DN,CT,Công ty Cổ phần Hợp Nhất,Than Hợp Nhất
37,2440105,FUEKIVND,VNINDEX,8985,OTHER,QU,Quỹ ETF KIM GROWTH VN DIAMOND,Quỹ ETF KIM GROWTH VN DIAMOND
38,3600248576,D17,UpcomIndex,1775,DN,CT,Công ty Cổ Phần Đồng Tân,Khai thác mỏ Đồng Tân
39,3602503768,GCF,UpcomIndex,3577,DN,CT,Công ty Cổ phần Thực phẩm G.C,Thực phẩm G.C
40,9646,LPT,UpcomIndex,2793,DN,CT,Công ty Cổ phần Thương mại và Sản xuất Lập Phương Thành,TM và SX Lập Phương Thành
